Time [s],Channel 0,Channel 1
105.898542900,1,0
105.899593700,0,0
105.899697500,1,0
105.899802800,0,0
105.900536900,1,0
105.900749700,0,0
105.901064000,1,0
105.901168700,0,0
105.901693000,1,0
105.901906400,0,0
105.902115600,1,0
105.902220900,0,0
105.902325800,1,0
105.902430500,0,0
105.902745300,1,0
105.903062200,0,0
105.904005800,1,0
105.904220800,0,0
105.904535600,1,0
105.904640300,0,0
105.905164800,1,0
105.905380300,0,0
105.905694700,1,0
105.905904700,0,0
105.906009700,1,0
105.906219700,0,0
105.906324100,1,0
105.906674800,0,0
105.906782600,1,0
105.907821200,0,0
105.907927400,1,0
105.908966000,0,0
105.909072400,1,0
105.909174500,0,0
105.909904200,1,0
105.910110900,0,0
105.910321400,1,0
105.910527200,0,0
105.911049000,1,0
105.911255700,0,0
105.912193900,1,0
105.912401300,0,0
105.912507400,1,0
105.912713400,0,0
105.913339200,1,0
105.913546300,0,0
105.913652700,1,0
105.913755000,0,0
105.914172900,1,0
105.914274700,0,0
105.914484700,1,0
105.914691700,0,0
105.914798200,1,0
105.914900300,0,0
105.915630100,1,0
105.915837200,0,0
105.916255700,1,0
105.916357500,0,0
105.916775400,1,0
105.916982100,0,0
105.917088400,1,0
105.917294500,0,0
105.917400600,1,0
105.917502400,0,0
105.917712500,1,0
105.923000700,0,0
106.217276900,1,0
106.222279500,0,0
106.222384300,1,0
106.223435700,0,0
106.223540500,1,0
106.224591400,0,0
106.224695700,1,0
106.224800500,0,0
106.225534300,1,0
106.225746900,0,0
106.226061200,1,0
106.226166400,0,0
106.226690200,1,0
106.226903000,0,0
106.227112300,1,0
106.227217100,0,0
106.227322000,1,0
106.227427200,0,0
106.227741500,1,0
106.228058900,0,0
106.229002000,1,0
106.229216500,0,0
106.229530800,1,0
106.229636000,0,0
106.230159800,1,0
106.230374600,0,0
106.230688400,1,0
106.230898300,0,0
106.231003200,1,0
106.231213000,0,0
106.231317400,1,0
106.231672600,0,0
106.231780200,1,0
106.232818900,0,0
106.232925700,1,0
106.233964400,0,0
106.234070600,1,0
106.234172900,0,0
106.234902600,1,0
106.235109200,0,0
106.235320400,1,0
106.235526200,0,0
106.236048000,1,0
106.236254800,0,0
106.237193000,1,0
106.237400200,0,0
106.237507000,1,0
106.237713000,0,0
106.238338800,1,0
106.238545900,0,0
106.238652300,1,0
106.238754400,0,0
106.239172400,1,0
106.239274200,0,0
106.239484200,1,0
106.239691300,0,0
106.239797700,1,0
106.239900000,0,0
106.240629700,1,0
106.240836600,0,0
106.241255400,1,0
106.241357100,0,0
106.241775000,1,0
106.241981700,0,0
106.242088100,1,0
106.242294200,0,0
106.242400300,1,0
106.242502100,0,0
106.242712100,1,0
106.248000600,0,0
106.585271500,1,0
106.590273200,0,0
106.590377500,1,0
106.591428400,0,0
106.591532600,1,0
106.592583500,0,0
106.592687300,1,0
106.592792600,0,0
106.593526700,1,0
106.593739500,0,0
106.594053900,1,0
106.594158700,0,0
106.594683300,1,0
106.594896700,0,0
106.595105900,1,0
106.595211100,0,0
106.595316000,1,0
106.595420800,0,0
106.595735600,1,0
106.596052400,0,0
106.596996100,1,0
106.597211200,0,0
106.597525900,1,0
106.597630700,0,0
106.598155000,1,0
106.598370400,0,0
106.598684700,1,0
106.598894600,0,0
106.598999600,1,0
106.599209600,0,0
106.599314000,1,0
106.599664500,0,0
106.599772300,1,0
106.600810900,0,0
106.600917100,1,0
106.601955700,0,0
106.602062100,1,0
106.602164200,0,0
106.602893900,1,0
106.603100700,0,0
106.603311200,1,0
106.603516900,0,0
106.604038800,1,0
106.604245500,0,0
106.605183800,1,0
106.605391200,0,0
106.605497200,1,0
106.605703300,0,0
106.606329100,1,0
106.606536200,0,0
106.606642600,1,0
106.606744900,0,0
106.607162800,1,0
106.607264600,0,0
106.607474600,1,0
106.607681600,0,0
106.607788100,1,0
106.607890200,0,0
106.608619900,1,0
